DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
05-Mar-26,EQ,"1,320.00","1,320.00","1,290.10","1,307.40","1,305.30","1,305.80","1,301.28","1,732.95","1,264.10","1,03,62,147","13,48,40,30,416.60","1,91,689"
04-Mar-26,EQ,"1,292.00","1,317.00","1,292.00","1,288.90","1,306.10","1,307.40","1,305.61","1,732.95","1,264.10","1,51,54,950","19,78,63,82,739.50","3,00,021"
02-Mar-26,EQ,"1,291.00","1,298.80","1,273.00","1,300.10","1,288.90","1,288.90","1,286.79","1,732.95","1,264.10","97,00,361","12,48,23,05,603.80","2,73,789"
27-Feb-26,EQ,"1,326.30","1,335.00","1,294.20","1,289.10","1,298.90","1,300.10","1,304.82","1,808.00","1,264.10","2,31,41,724","30,19,57,65,196.90","2,52,495"
26-Feb-26,EQ,"1,305.50","1,314.00","1,286.30","1,290.10","1,291.00","1,289.10","1,296.59","1,808.00","1,264.10","1,14,93,914","14,90,29,44,240.50","2,18,393"
25-Feb-26,EQ,"1,286.20","1,323.60","1,286.20","1,275.50","1,289.90","1,290.10","1,302.76","1,808.00","1,264.10","1,66,69,618","21,71,65,39,259.20","2,82,845"
24-Feb-26,EQ,"1,301.00","1,303.60","1,264.10","1,327.50","1,280.20","1,275.50","1,277.70","1,808.00","1,264.10","2,78,39,061","35,56,99,25,009.70","6,75,579"
23-Feb-26,EQ,"1,352.00","1,352.00","1,318.00","1,353.20","1,328.00","1,327.50","1,330.99","1,808.00","1,281.50","1,28,87,826","17,15,35,40,701.10","2,98,012"
20-Feb-26,EQ,"1,359.20","1,365.00","1,338.20","1,370.50","1,353.00","1,353.20","1,354.72","1,861.65","1,281.50","1,26,33,552","17,11,49,83,625.40","2,28,342"
19-Feb-26,EQ,"1,385.00","1,402.00","1,363.20","1,373.70","1,366.50","1,370.50","1,385.83","1,861.65","1,281.50","1,45,74,228","20,19,73,52,996.40","2,84,487"
18-Feb-26,EQ,"1,390.90","1,401.00","1,345.30","1,391.20","1,372.00","1,373.70","1,366.92","1,861.65","1,281.50","2,02,41,373","27,66,83,63,802.90","3,32,674"
17-Feb-26,EQ,"1,370.00","1,431.00","1,367.00","1,365.60","1,391.30","1,391.20","1,405.93","1,861.65","1,281.50","2,53,47,684","35,63,69,67,386.40","4,37,387"
16-Feb-26,EQ,"1,373.70","1,376.00","1,338.30","1,369.10","1,370.00","1,365.60","1,350.57","1,861.65","1,281.50","1,46,21,891","19,74,79,51,582.00","2,65,381"
13-Feb-26,EQ,"1,293.90","1,377.30","1,281.50","1,386.00","1,369.00","1,369.10","1,335.86","1,905.00","1,281.50","4,57,85,709","61,16,34,53,152.00","8,66,417"
12-Feb-26,EQ,"1,428.90","1,435.70","1,380.50","1,471.90","1,384.10","1,386.00","1,398.59","1,905.00","1,307.00","2,60,48,896","36,43,18,34,029.50","6,97,120"
11-Feb-26,EQ,"1,501.20","1,505.90","1,469.00","1,497.80","1,471.00","1,471.90","1,482.71","1,905.00","1,307.00","79,34,411","11,76,44,23,683.40","2,15,446"
10-Feb-26,EQ,"1,500.00","1,515.90","1,491.00","1,497.20","1,495.00","1,497.80","1,501.34","1,905.00","1,307.00","86,57,000","12,99,71,37,147.00","1,93,569"
09-Feb-26,EQ,"1,522.10","1,528.00","1,493.00","1,507.10","1,497.00","1,497.20","1,501.27","1,905.00","1,307.00","82,94,615","12,45,24,82,086.60","2,17,667"
06-Feb-26,EQ,"1,522.10","1,525.00","1,480.00","1,520.20","1,505.70","1,507.10","1,500.77","1,924.00","1,307.00","1,39,00,866","20,86,19,38,490.90","3,78,234"
05-Feb-26,EQ,"1,534.00","1,551.00","1,515.70","1,535.80","1,520.00","1,520.20","1,528.44","1,924.00","1,307.00","1,06,28,127","16,24,44,89,094.30","3,21,300"
04-Feb-26,EQ,"1,574.00","1,584.90","1,510.10","1,656.00","1,534.00","1,535.80","1,539.37","1,924.00","1,307.00","2,88,28,622","44,37,79,56,079.30","7,08,823"
